closed_by,assigned_to,opened_at,caller_id,sys_updated_by,number,sys_updated_on,closed_at,state,short_description,assignment_group,priority,category
Howard Johnson,Luke Wilson,2023-04-09 22:34:00,Bud Richman,employee,INC0000000125,2023-04-23 04:13:43.415624755,2023-04-23 04:13:43.415624755,Resolved,Email server downtime impacting operations,Service Desk,1 - Critical,Network
Beth Anglin,Howard Johnson,2023-04-10 01:40:00,Bud Richman,employee,INC0000000126,2023-04-04 23:07:25.289369611,2023-04-04 23:07:25.289369611,Closed,Email system connectivity issue,Network,2 - High,Network
Charlie Whitherspoon,Beth Anglin,2023-04-10 03:29:00,Don Goodliffe,employee,INC0000000127,2023-04-11 07:28:39.616692395,2023-04-11 07:28:39.616692395,Closed,Email system downtime affecting multiple users,Service Desk,2 - High,Software
Luke Wilson,Fred Luddy,2023-04-10 15:44:00,ITIL User,employee,INC0000000128,2023-04-16 06:07:46.047971373,2023-04-16 06:07:46.047971373,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Fred Luddy,2023-04-12 05:11:00,ITIL User,admin,INC0000000129,2023-04-12 22:55:12.792443422,2023-04-12 22:55:12.792443422,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Luke Wilson,Howard Johnson,2023-04-15 19:59:00,ITIL User,system,INC0000000130,2023-04-30 04:00:26.171537394,2023-04-30 04:00:26.171537394,Resolved,Email system latency issues in marketing department,Service Desk,2 - High,Software
Fred Luddy,Beth Anglin,2023-04-15 21:55:00,ITIL User,employee,INC0000000131,2023-04-20 21:09:33.030761536,2023-04-20 21:09:33.030761536,Resolved,Email system lag causing delays,Service Desk,2 - High,Software
Beth Anglin,Fred Luddy,2023-04-16 11:09:00,David Loo,system,INC0000000132,2023-04-20 09:34:11.894674831,2023-04-20 09:34:11.894674831,Closed,Email system is running slow,Service Desk,3 - Moderate,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-04-16 12:12:00,ITIL User,employee,INC0000000133,2023-04-18 20:18:15.391903941,2023-04-18 20:18:15.391903941,Closed,Email system outage affecting all users,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Howard Johnson,2023-04-17 08:49:00,ITIL User,system,INC0000000134,2023-04-21 13:27:02.466691689,2023-04-21 13:27:02.466691689,Resolved,Email server downtime reported,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Howard Johnson,2023-04-18 10:30:00,Don Goodliffe,admin,INC0000000135,2023-04-27 13:03:09.053883659,2023-04-27 13:03:09.053883659,Closed,Email server connectivity issue,Network,2 - High,Network
Beth Anglin,Beth Anglin,2023-04-18 16:30:00,Bud Richman,admin,INC0000000136,2023-04-27 05:17:09.301258033,2023-04-27 05:17:09.301258033,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Luke Wilson,2023-04-18 17:55:00,ITIL User,system,INC0000000137,2023-04-22 15:39:13.864117263,2023-04-22 15:39:13.864117263,Closed,Email system lagging and unresponsive,Service Desk,2 - High,Software
Charlie Whitherspoon,Fred Luddy,2023-04-19 01:42:00,Bud Richman,employee,INC0000000138,2023-04-19 11:18:23.341381252,2023-04-19 11:18:23.341381252,Closed,Email system reload and synchronization issue,Service Desk,2 - High,Software
Charlie Whitherspoon,Luke Wilson,2023-04-19 23:33:00,David Loo,system,INC0000000139,2023-04-28 07:03:00.844441828,2023-04-28 07:03:00.844441828,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Fred Luddy,2023-04-20 05:14:00,David Loo,system,INC0000000140,2023-04-30 02:21:44.640608279,2023-04-30 02:21:44.640608279,Closed,Email system outage affecting entire department,Service Desk,1 - Critical,Network
Beth Anglin,Beth Anglin,2023-04-20 12:53:00,Bud Richman,employee,INC0000000141,2023-04-19 15:55:17.996825736,2023-04-19 15:55:17.996825736,Closed,Email system not responding,Service Desk,1 - Critical,Software
Luke Wilson,Beth Anglin,2023-04-21 03:43:00,David Loo,employee,INC0000000142,2023-04-21 03:47:16.184132505,2023-04-21 03:47:16.184132505,Closed,Email server outage affecting department,Network,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-04-21 09:41:00,David Loo,system,INC0000000143,2023-04-27 17:05:39.310886224,2023-04-27 17:05:39.310886224,Resolved,Email system access issue reported by user,Service Desk,2 - High,Inquiry / Help
Luke Wilson,Luke Wilson,2023-04-21 14:55:00,ITIL User,admin,INC0000000144,2023-04-23 17:55:08.630931496,2023-04-23 17:55:08.630931496,Closed,Email system downtime reported,Service Desk,2 - High,Network
Howard Johnson,Beth Anglin,2023-04-22 19:32:00,Don Goodliffe,admin,INC0000000145,2023-05-05 07:17:21.169972476,2023-05-05 07:17:21.169972476,Closed,Email system not sending messages,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-04-24 04:39:00,ITIL User,employee,INC0000000146,2023-05-03 02:09:41.611064173,2023-05-03 02:09:41.611064173,Closed,Email system latency issues reported by multiple users,Service Desk,2 - High,Software
Luke Wilson,Fred Luddy,2023-04-25 19:18:00,Don Goodliffe,admin,INC0000000147,2023-04-30 11:13:27.399446049,2023-04-30 11:13:27.399446049,Resolved,Email system is down for multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Charlie Whitherspoon,2023-04-26 03:23:00,ITIL User,admin,INC0000000148,2023-05-04 21:28:15.703310144,2023-05-04 21:28:15.703310144,Closed,Email system timeout errors reported by multiple users,Service Desk,2 - High,Network
Charlie Whitherspoon,Charlie Whitherspoon,2023-04-27 19:58:00,ITIL User,system,INC0000000149,2023-05-06 22:06:15.567887549,2023-05-06 22:06:15.567887549,Closed,Email server outage affecting multiple departments,Network,1 - Critical,Network
Luke Wilson,Howard Johnson,2023-04-27 20:02:00,David Loo,admin,INC0000000150,2023-05-02 12:44:43.158807606,2023-05-02 12:44:43.158807606,Resolved,Email system outage experienced by multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Charlie Whitherspoon,2023-04-28 20:30:00,ITIL User,employee,INC0000000151,2023-05-05 19:08:54.795107761,2023-05-05 19:08:54.795107761,Closed,Email system downtime impacting operations,Service Desk,2 - High,Network
Luke Wilson,Howard Johnson,2023-04-29 00:26:00,David Loo,employee,INC0000000152,2023-05-02 14:52:36.310506813,2023-05-02 14:52:36.310506813,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Charlie Whitherspoon,2023-04-29 04:30:00,Don Goodliffe,employee,INC0000000153,2023-05-07 03:15:22.842683482,2023-05-07 03:15:22.842683482,Closed,Email system outage reported by several users,Service Desk,2 - High,Network
Howard Johnson,Beth Anglin,2023-04-29 06:19:00,David Loo,admin,INC0000000154,2023-04-28 21:22:26.333695291,2023-04-28 21:22:26.333695291,Closed,Email service disruption reported by user,Service Desk,2 - High,Network
Howard Johnson,Fred Luddy,2023-04-29 19:12:00,David Loo,admin,INC0000000155,2023-05-02 21:21:42.855733465,2023-05-02 21:21:42.855733465,Closed,Email server outage affecting multiple departments,Network,1 - Critical,Network
Howard Johnson,Charlie Whitherspoon,2023-05-03 11:42:00,ITIL User,system,INC0000000156,2023-05-16 16:01:58.769202177,2023-05-16 16:01:58.769202177,Closed,Email system outage reported by several users,Service Desk,2 - High,Software
Luke Wilson,Luke Wilson,2023-05-03 19:06:00,David Loo,admin,INC0000000157,2023-05-13 00:27:52.167434784,2023-05-13 00:27:52.167434784,Closed,Email system connectivity issue,Network,2 - High,Network
Luke Wilson,Fred Luddy,2023-05-04 17:54:00,David Loo,employee,INC0000000158,2023-05-07 21:12:07.669243309,2023-05-07 21:12:07.669243309,Resolved,Email server outage reported by multiple users,Network,1 - Critical,Network
Charlie Whitherspoon,Beth Anglin,2023-05-04 18:06:00,David Loo,admin,INC0000000159,2023-04-30 08:46:11.458607158,2023-04-30 08:46:11.458607158,Resolved,Email server outage affecting multiple departments,Network,1 - Critical,Network
Howard Johnson,Beth Anglin,2023-05-06 15:02:00,Bud Richman,system,INC0000000160,2023-05-08 06:41:35.091070544,2023-05-08 06:41:35.091070544,Closed,Email system down for multiple users,Service Desk,2 - High,Software
Howard Johnson,Fred Luddy,2023-05-07 19:20:00,David Loo,employee,INC0000000161,2023-05-11 03:19:20.979766876,2023-05-11 03:19:20.979766876,Resolved,User unable to connect to VPN,Network,2 - High,Network
Luke Wilson,Charlie Whitherspoon,2023-05-08 06:58:00,ITIL User,system,INC0000000162,2023-05-22 07:39:22.110484350,2023-05-22 07:39:22.110484350,Closed,User unable to connect to WiFi,Network,2 - High,Network
Howard Johnson,Beth Anglin,2023-05-10 04:59:00,Bud Richman,system,INC0000000163,2023-05-08 13:26:57.400903361,2023-05-08 13:26:57.400903361,Resolved,Email system slow and unresponsive,Service Desk,2 - High,Software
Charlie Whitherspoon,Beth Anglin,2023-05-10 22:30:00,Don Goodliffe,admin,INC0000000164,2023-05-18 17:23:29.993443758,2023-05-18 17:23:29.993443758,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Fred Luddy,Charlie Whitherspoon,2023-05-12 07:38:00,Don Goodliffe,system,INC0000000165,2023-05-19 00:15:26.802549315,2023-05-19 00:15:26.802549315,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Luke Wilson,2023-05-12 08:35:00,Bud Richman,admin,INC0000000166,2023-05-17 05:29:16.639424732,2023-05-17 05:29:16.639424732,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-05-12 15:03:00,Don Goodliffe,system,INC0000000167,2023-05-21 11:06:20.819893010,2023-05-21 11:06:20.819893010,Closed,Email server response issues,Network,2 - High,Network
Fred Luddy,Charlie Whitherspoon,2023-05-12 18:55:00,David Loo,admin,INC0000000168,2023-05-14 14:18:37.129141103,2023-05-14 14:18:37.129141103,Resolved,Email system is down,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Fred Luddy,2023-05-13 12:24:00,Don Goodliffe,employee,INC0000000169,2023-05-18 02:07:04.597519691,2023-05-18 02:07:04.597519691,Closed,Email system downtime affecting multiple users,Service Desk,2 - High,Software
Howard Johnson,Charlie Whitherspoon,2023-05-14 04:20:00,ITIL User,admin,INC0000000170,2023-05-20 15:44:02.339254956,2023-05-20 15:44:02.339254956,Resolved,Email system slow and unresponsive,Service Desk,2 - High,Software
Fred Luddy,Charlie Whitherspoon,2023-05-15 18:20:00,David Loo,admin,INC0000000171,2023-05-14 03:11:51.575206849,2023-05-14 03:11:51.575206849,Closed,Email system downtime issue reported by user,Service Desk,2 - High,Software
Fred Luddy,Fred Luddy,2023-05-15 23:38:00,Don Goodliffe,system,INC0000000172,2023-05-23 17:38:49.433220772,2023-05-23 17:38:49.433220772,Resolved,Email system down since morning,Service Desk,1 - Critical,Network
Beth Anglin,Beth Anglin,2023-05-17 01:51:00,David Loo,admin,INC0000000173,2023-05-17 14:59:02.080530965,2023-05-17 14:59:02.080530965,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-05-18 17:06:00,Don Goodliffe,employee,INC0000000174,2023-05-25 15:56:31.904644470,2023-05-25 15:56:31.904644470,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Howard Johnson,2023-05-19 14:39:00,David Loo,admin,INC0000000175,2023-05-16 03:46:42.554771444,2023-05-16 03:46:42.554771444,Closed,Email system running slow on multiple workstations,Service Desk,2 - High,Software
Howard Johnson,Charlie Whitherspoon,2023-05-19 14:39:00,David Loo,employee,INC0000000176,2023-05-29 11:37:59.111054904,2023-05-29 11:37:59.111054904,Closed,Email system is running slow,Service Desk,3 - Moderate,Software
Luke Wilson,Beth Anglin,2023-05-19 19:58:00,David Loo,admin,INC0000000177,2023-05-21 20:58:49.926387322,2023-05-21 20:58:49.926387322,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-05-20 00:39:00,Bud Richman,employee,INC0000000178,2023-05-25 11:08:08.220479055,2023-05-25 11:08:08.220479055,Resolved,Email server outage impacting department,Service Desk,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-05-21 09:06:00,Don Goodliffe,admin,INC0000000179,2023-05-26 03:29:13.951864606,2023-05-26 03:29:13.951864606,Closed,Email system outage reported by multiple users,Service Desk,2 - High,Network
Fred Luddy,Howard Johnson,2023-05-22 00:14:00,ITIL User,admin,INC0000000180,2023-05-21 05:22:01.230541963,2023-05-21 05:22:01.230541963,Resolved,Email system not responding,Service Desk,2 - High,Software
Luke Wilson,Charlie Whitherspoon,2023-05-22 09:39:00,Bud Richman,employee,INC0000000181,2023-05-22 19:45:57.418775083,2023-05-22 19:45:57.418775083,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Fred Luddy,2023-05-22 14:31:00,Bud Richman,admin,INC0000000182,2023-05-31 09:42:59.396929349,2023-05-31 09:42:59.396929349,Closed,Email system outage reported by several users,Service Desk,1 - Critical,Network
Luke Wilson,Howard Johnson,2023-05-24 07:50:00,David Loo,admin,INC0000000183,2023-05-22 08:44:54.163202831,2023-05-22 08:44:54.163202831,Closed,Email system downtime affecting entire office,Service Desk,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-05-24 09:34:00,Bud Richman,system,INC0000000184,2023-05-30 04:29:42.248807501,2023-05-30 04:29:42.248807501,Closed,Email server downtime issue,Network,2 - High,Network
Beth Anglin,Beth Anglin,2023-05-24 21:27:00,David Loo,employee,INC0000000185,2023-06-03 12:24:10.742511883,2023-06-03 12:24:10.742511883,Closed,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Beth Anglin,Charlie Whitherspoon,2023-05-27 02:10:00,ITIL User,system,INC0000000186,2023-05-30 07:42:00.298860738,2023-05-30 07:42:00.298860738,Closed,Email system outage reported by several users,Service Desk,1 - Critical,Software
Beth Anglin,Fred Luddy,2023-05-27 14:42:00,Don Goodliffe,admin,INC0000000187,2023-06-06 02:10:31.640822253,2023-06-06 02:10:31.640822253,Closed,Email client not syncing,Service Desk,2 - High,Software
Beth Anglin,Beth Anglin,2023-05-27 19:02:00,ITIL User,system,INC0000000188,2023-06-04 09:24:55.312845960,2023-06-04 09:24:55.312845960,Resolved,Email system running slow,Service Desk,2 - High,Software
Beth Anglin,Luke Wilson,2023-05-27 22:37:00,ITIL User,employee,INC0000000189,2023-05-29 07:14:01.923245074,2023-05-29 07:14:01.923245074,Resolved,Email system response time is slow,Service Desk,3 - Moderate,Software
Howard Johnson,Luke Wilson,2023-05-28 01:41:00,Don Goodliffe,employee,INC0000000190,2023-05-27 05:08:13.708204822,2023-05-27 05:08:13.708204822,Resolved,Email client not syncing with server,Service Desk,2 - High,Software
Howard Johnson,Fred Luddy,2023-05-29 07:28:00,Bud Richman,system,INC0000000191,2023-06-01 15:40:52.887412340,2023-06-01 15:40:52.887412340,Resolved,Email system down since morning,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-05-30 00:38:00,Don Goodliffe,system,INC0000000192,2023-06-02 09:18:42.503498065,2023-06-02 09:18:42.503498065,Closed,Email system performance degraded,Service Desk,2 - High,Software
Beth Anglin,Charlie Whitherspoon,2023-05-30 01:18:00,ITIL User,employee,INC0000000193,2023-06-04 19:12:25.952913174,2023-06-04 19:12:25.952913174,Closed,Email client not syncing properly,Service Desk,3 - Moderate,Software
Fred Luddy,Beth Anglin,2023-05-30 05:23:00,Bud Richman,system,INC0000000194,2023-06-03 02:43:21.076852702,2023-06-03 02:43:21.076852702,Closed,Email system performance degradation,Service Desk,2 - High,Software
Howard Johnson,Beth Anglin,2023-05-31 20:08:00,Bud Richman,admin,INC0000000195,2023-05-29 01:39:16.015657537,2023-05-29 01:39:16.015657537,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Howard Johnson,2023-05-31 21:54:00,Don Goodliffe,system,INC0000000196,2023-06-07 16:40:43.777835468,2023-06-07 16:40:43.777835468,Resolved,Email system down since morning,Service Desk,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-06-01 23:38:00,ITIL User,employee,INC0000000197,2023-06-07 17:15:11.013821369,2023-06-07 17:15:11.013821369,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Beth Anglin,2023-06-02 08:58:00,Bud Richman,employee,INC0000000198,2023-06-08 03:30:41.740442270,2023-06-08 03:30:41.740442270,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Fred Luddy,2023-06-03 12:09:00,Don Goodliffe,employee,INC0000000199,2023-06-05 02:33:00.000000000,2023-06-05 02:33:00.000000000,Resolved,Email system response delays,Service Desk,2 - High,Software
Beth Anglin,Howard Johnson,2023-06-06 01:36:00,ITIL User,employee,INC0000000200,2023-06-10 18:25:45.752496348,2023-06-10 18:25:45.752496348,Closed,Email system response times are slow,Service Desk,2 - High,Software
Fred Luddy,Beth Anglin,2023-06-06 16:38:00,Bud Richman,admin,INC0000000201,2023-06-12 23:20:01.735205337,2023-06-12 23:20:01.735205337,Closed,Email system running slow,Service Desk,3 - Moderate,Hardware
Charlie Whitherspoon,Beth Anglin,2023-06-08 01:07:00,Don Goodliffe,admin,INC0000000202,2023-06-11 19:22:03.404404491,2023-06-11 19:22:03.404404491,Closed,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Charlie Whitherspoon,Fred Luddy,2023-06-08 17:02:00,ITIL User,employee,INC0000000203,2023-06-11 19:26:00.000000000,2023-06-11 19:26:00.000000000,Closed,Email system slow response time,Service Desk,3 - Moderate,Software
Fred Luddy,Howard Johnson,2023-06-08 19:38:00,ITIL User,system,INC0000000204,2023-06-14 11:44:06.720639240,2023-06-14 11:44:06.720639240,Resolved,Email system login issues observed by several users,Service Desk,2 - High,Software
Fred Luddy,Charlie Whitherspoon,2023-06-10 22:48:00,ITIL User,employee,INC0000000205,2023-06-09 20:57:19.746745251,2023-06-09 20:57:19.746745251,Closed,"Email server is down, users affected",Service Desk,1 - Critical,Network
Charlie Whitherspoon,Beth Anglin,2023-06-11 01:27:00,David Loo,system,INC0000000206,2023-06-14 15:02:47.419715873,2023-06-14 15:02:47.419715873,Closed,Urgent: Database slow and not responding,Database,1 - Critical,Database
Fred Luddy,Howard Johnson,2023-06-11 11:11:00,Bud Richman,admin,INC0000000207,2023-06-20 14:57:05.851188902,2023-06-20 14:57:05.851188902,Resolved,Intermittent network outage in building 12,Network,2 - High,Network
Beth Anglin,Fred Luddy,2023-06-12 06:25:00,ITIL User,admin,INC0000000208,2023-06-16 13:36:59.999999999,2023-06-16 13:36:59.999999999,Closed,User unable to connect to VPN,Network,2 - High,Network
Fred Luddy,Charlie Whitherspoon,2023-06-12 07:06:00,David Loo,employee,INC0000000209,2023-06-11 20:45:40.421497381,2023-06-11 20:45:40.421497381,Resolved,Email system down since morning,Service Desk,1 - Critical,Network
Howard Johnson,Luke Wilson,2023-06-12 07:19:00,Don Goodliffe,system,INC0000000210,2023-06-14 06:51:44.491862858,2023-06-14 06:51:44.491862858,Resolved,Email system outage affecting entire floor,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Fred Luddy,2023-06-14 01:26:00,Bud Richman,system,INC0000000211,2023-06-18 23:02:00.000000000,2023-06-18 23:02:00.000000000,Closed,Email system response delays,Service Desk,2 - High,Software
Howard Johnson,Beth Anglin,2023-06-14 21:04:00,ITIL User,system,INC0000000212,2023-06-19 02:08:34.469962382,2023-06-19 02:08:34.469962382,Closed,Email server downtime issue reported,Service Desk,1 - Critical,Network
Luke Wilson,Charlie Whitherspoon,2023-06-15 05:24:00,David Loo,system,INC0000000213,2023-06-18 05:20:44.461666799,2023-06-18 05:20:44.461666799,Resolved,Email system access issue,Service Desk,2 - High,Software
Luke Wilson,Luke Wilson,2023-06-16 01:53:00,Don Goodliffe,admin,INC0000000214,2023-06-21 02:45:58.059909978,2023-06-21 02:45:58.059909978,Resolved,Email system downtime,Service Desk,1 - Critical,Software
Beth Anglin,Luke Wilson,2023-06-16 11:48:00,ITIL User,employee,INC0000000215,2023-06-24 18:52:34.637268586,2023-06-24 18:52:34.637268586,Closed,Email system delays impacting workflow,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-06-17 04:32:00,David Loo,employee,INC0000000216,2023-06-27 01:27:55.436065145,2023-06-27 01:27:55.436065145,Resolved,Email server response timeout issues,Network,2 - High,Network
Charlie Whitherspoon,Fred Luddy,2023-06-17 05:16:00,David Loo,employee,INC0000000217,2023-06-23 00:27:59.999999999,2023-06-23 00:27:59.999999999,Closed,Email system response delay,Service Desk,2 - High,Software
Luke Wilson,Howard Johnson,2023-06-19 06:57:00,ITIL User,admin,INC0000000218,2023-06-24 04:43:18.611906771,2023-06-24 04:43:18.611906771,Resolved,Email system delay causing business impact,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-06-19 13:51:00,David Loo,admin,INC0000000219,2023-06-26 03:50:33.577138035,2023-06-26 03:50:33.577138035,Resolved,Email system performance degradation observed,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-06-20 20:43:00,ITIL User,system,INC0000000220,2023-06-27 23:14:52.055876722,2023-06-27 23:14:52.055876722,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Charlie Whitherspoon,2023-06-21 06:49:00,Don Goodliffe,admin,INC0000000221,2023-06-24 05:35:01.736809032,2023-06-24 05:35:01.736809032,Closed,Email system not responding,Service Desk,2 - High,Software
Howard Johnson,Fred Luddy,2023-06-22 09:15:00,Don Goodliffe,admin,INC0000000222,2023-06-29 16:27:00.000000000,2023-06-29 16:27:00.000000000,Resolved,Email system lagging and causing delays,Service Desk,2 - High,Software
Charlie Whitherspoon,Howard Johnson,2023-06-22 17:37:00,ITIL User,system,INC0000000223,2023-06-22 01:43:33.291745754,2023-06-22 01:43:33.291745754,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Howard Johnson,2023-06-23 01:00:00,Don Goodliffe,admin,INC0000000224,2023-06-28 03:35:53.509671745,2023-06-28 03:35:53.509671745,Closed,Email system outage affecting entire department,Service Desk,1 - Critical,Network
Beth Anglin,Luke Wilson,2023-06-26 06:29:00,ITIL User,admin,INC0000000225,2023-07-02 03:23:35.432200766,2023-07-02 03:23:35.432200766,Resolved,Email system outage affecting entire department,Service Desk,1 - Critical,Network
Luke Wilson,Beth Anglin,2023-06-28 07:34:00,ITIL User,system,INC0000000226,2023-06-28 00:03:27.631409165,2023-06-28 00:03:27.631409165,Resolved,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Fred Luddy,Luke Wilson,2023-06-28 19:25:00,Don Goodliffe,admin,INC0000000227,2023-06-23 06:20:49.707506132,2023-06-23 06:20:49.707506132,Closed,Email client crashes repeatedly,Software,2 - High,Software
Howard Johnson,Fred Luddy,2023-07-01 14:27:00,Bud Richman,system,INC0000000228,2023-07-11 14:27:00.000000000,2023-07-11 14:27:00.000000000,Closed,Email service disruption reported,Service Desk,2 - High,Network
Howard Johnson,Howard Johnson,2023-07-01 17:32:00,Bud Richman,system,INC0000000229,2023-07-12 15:17:32.413812754,2023-07-12 15:17:32.413812754,Closed,Email system downtime reported by multiple users,Service Desk,2 - High,Software
Fred Luddy,Fred Luddy,2023-07-01 22:58:00,Bud Richman,admin,INC0000000230,2023-07-11 22:58:00.000000000,2023-07-11 22:58:00.000000000,Closed,Email system response delays,Service Desk,3 - Moderate,Software
Beth Anglin,Luke Wilson,2023-07-02 04:16:00,Bud Richman,employee,INC0000000231,2023-07-13 04:13:57.778574184,2023-07-13 04:13:57.778574184,Closed,Email system down in marketing department,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Fred Luddy,2023-07-02 11:18:00,Bud Richman,system,INC0000000232,2023-07-12 18:30:00.000000000,2023-07-12 18:30:00.000000000,Resolved,Email delivery delays reported,Network,2 - High,Network
Charlie Whitherspoon,Howard Johnson,2023-07-02 16:42:00,ITIL User,system,INC0000000233,2023-07-10 17:46:51.167809808,2023-07-10 17:46:51.167809808,Resolved,Email system outage reported by several users,Service Desk,1 - Critical,Network
Luke Wilson,Charlie Whitherspoon,2023-07-03 04:00:00,Don Goodliffe,system,INC0000000234,2023-07-11 08:18:22.964599926,2023-07-11 08:18:22.964599926,Resolved,Email system responds with delay,Service Desk,2 - High,Software
Luke Wilson,Howard Johnson,2023-07-03 15:22:00,Don Goodliffe,system,INC0000000235,2023-07-09 22:58:51.859246043,2023-07-09 22:58:51.859246043,Closed,Email system latency impacting workflow,Service Desk,2 - High,Software
Beth Anglin,Beth Anglin,2023-07-07 09:49:00,Don Goodliffe,system,INC0000000236,2023-07-19 01:53:18.195366284,2023-07-19 01:53:18.195366284,Resolved,Email server outage reported by multiple users,Network,1 - Critical,Network
Beth Anglin,Howard Johnson,2023-07-07 17:49:00,Don Goodliffe,system,INC0000000237,2023-07-01 11:47:19.106200247,2023-07-01 11:47:19.106200247,Resolved,Email system access issue reported by several users,Service Desk,2 - High,Software
Charlie Whitherspoon,Howard Johnson,2023-07-08 13:46:00,David Loo,employee,INC0000000238,2023-07-15 15:03:48.583429026,2023-07-15 15:03:48.583429026,Closed,Email system is down for multiple users,Service Desk,1 - Critical,Software
Howard Johnson,Fred Luddy,2023-07-09 02:09:00,David Loo,admin,INC0000000239,2023-07-21 11:45:00.000000000,2023-07-21 11:45:00.000000000,Resolved,Email system downtime reported by several users,Service Desk,2 - High,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-07-11 20:11:00,David Loo,admin,INC0000000240,2023-07-27 19:28:28.277382986,2023-07-27 19:28:28.277382986,Closed,Email system login failure,Service Desk,2 - High,Software
Beth Anglin,Luke Wilson,2023-07-12 00:32:00,Bud Richman,employee,INC0000000241,2023-07-16 20:45:16.819956149,2023-07-16 20:45:16.819956149,Closed,Email system downtime reported by several users,Service Desk,2 - High,Software
Charlie Whitherspoon,Luke Wilson,2023-07-13 15:29:00,David Loo,admin,INC0000000242,2023-07-14 15:42:45.997563808,2023-07-14 15:42:45.997563808,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Beth Anglin,2023-07-17 07:02:00,Bud Richman,system,INC0000000243,2023-07-18 21:29:52.966964964,2023-07-18 21:29:52.966964964,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Charlie Whitherspoon,2023-07-19 14:51:00,Don Goodliffe,employee,INC0000000244,2023-07-21 08:13:12.779204969,2023-07-21 08:13:12.779204969,Resolved,Email service disruption impacting multiple users,Service Desk,2 - High,Network
Beth Anglin,Luke Wilson,2023-07-19 16:49:00,Don Goodliffe,system,INC0000000245,2023-07-21 09:43:39.096551034,2023-07-21 09:43:39.096551034,Resolved,Email system down impacting client communications,Service Desk,1 - Critical,Network
Beth Anglin,Howard Johnson,2023-07-21 04:01:00,David Loo,admin,INC0000000246,2023-07-26 04:36:06.888785102,2023-07-26 04:36:06.888785102,Closed,Intermittent network downtime reported,Network,2 - High,Network
Howard Johnson,Charlie Whitherspoon,2023-07-23 09:51:00,David Loo,admin,INC0000000247,2023-07-18 06:32:46.459674751,2023-07-18 06:32:46.459674751,Resolved,Email system performance issues,Service Desk,2 - High,Software
Howard Johnson,Charlie Whitherspoon,2023-07-24 03:15:00,Don Goodliffe,admin,INC0000000248,2023-07-30 07:09:34.236616972,2023-07-30 07:09:34.236616972,Closed,Email server not responding,Network,1 - Critical,Network
Beth Anglin,Howard Johnson,2023-07-26 14:19:00,David Loo,system,INC0000000249,2023-07-26 22:17:22.829897924,2023-07-26 22:17:22.829897924,Resolved,Email system is running slow,Service Desk,3 - Moderate,Software
